Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3,Area
1219,MC_SC_17_s01R_495,26,4,2,False,False,True,False,False,0,11,7,12,4,4,3,2,2,0,0,2,8,1077.0
1224,MC_SC_17_s01R_496,26,4,2,False,False,True,False,False,79,6,15,5,28,0,15,1,1,2,5,2,4,1565.0
1225,MC_SC_17_s01R_497,26,3,2,False,False,False,True,False,0,8,4,0,14,0,1,2,0,0,0,1,0,852.0
1226,MC_SC_17_s01R_498,26,5,3,False,False,False,True,False,0,14,8,0,2,0,19,4,7,5,5,3,7,2069.0
1231,MC_SC_17_s01R_499,26,4,2,False,False,True,False,False,5,4,14,0,9,1,0,2,4,11,0,2,5,1637.0
1235,MC_SC_17_s01R_500,26,4,3,False,False,False,True,False,1,2,4,0,4,0,1,1,0,0,0,0,1,741.0
1238,MC_SC_17_s01R_501,26,5,3,False,False,False,True,False,0,10,9,0,42,4,7,0,3,14,3,6,0,1617.0
1239,MC_SC_17_s01R_502,26,4,3,False,False,False,True,False,0,17,7,0,0,0,8,0,5,1,2,1,2,1674.0
1241,MC_SC_17_s01R_503,26,4,2,False,False,True,False,False,0,22,26,16,106,1,0,0,1,5,8,5,0,2350.0
1242,MC_SC_17_s01R_504,26,6,4,False,False,True,False,False,106,23,26,17,66,1,1,3,1,2,5,5,6,2173.0
