Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp_b,dtom_b,slc17a6_b,slc32a1_b,slc5a7_b,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3
254,MC_SC_17_s03L_155,7,3,2,False,False,True,False,False,56,16,3,4,8,2,32,13,0,8,10,28,43
256,MC_SC_17_s03L_156,7,5,3,False,False,True,False,False,79,7,35,9,3,40,14,40,32,32,12,49,49
258,MC_SC_17_s03L_157,7,3,2,False,False,True,False,False,44,14,1,1,22,24,25,20,32,15,16,16,36
259,MC_SC_17_s03L_158,7,3,2,False,True,True,False,False,50,14,17,5,24,7,47,34,36,35,16,49,51
260,MC_SC_17_s03L_159,7,2,2,False,False,True,False,False,108,10,9,3,44,10,22,31,17,4,20,33,29
261,MC_SC_17_s03L_160,7,5,3,False,False,False,True,False,3,105,7,19,6,167,89,24,97,139,81,21,33
262,MC_SC_17_s03L_161,7,4,2,False,False,True,False,False,0,25,7,16,5,1,2,26,37,72,27,8,6
264,MC_SC_17_s03L_162,7,7,4,False,False,False,True,False,2,113,15,13,2,132,48,14,82,133,78,6,15
265,MC_SC_17_s03L_163,7,4,3,False,False,False,True,False,0,20,32,10,4,50,53,16,45,92,39,22,16
266,MC_SC_17_s03L_164,7,3,1,False,False,True,False,False,71,50,31,6,65,4,44,18,11,24,35,3,10
267,MC_SC_17_s03L_165,7,5,3,False,False,True,False,False,0,64,29,26,138,43,14,7,60,85,28,2,29
268,MC_SC_17_s03L_166,7,4,2,False,False,False,True,False,0,48,8,1,2,67,87,18,50,9,29,12,22
269,MC_SC_17_s03L_167,7,7,3,False,False,True,False,False,0,29,17,3,18,3,34,18,28,44,18,14,1
271,MC_SC_17_s03L_168,7,4,2,False,False,True,False,False,5,43,5,2,4,68,23,9,65,0,17,66,4
273,MC_SC_17_s03L_169,7,5,4,False,False,True,False,False,0,31,11,4,5,3,25,16,26,4,9,8,13
274,MC_SC_17_s03L_170,7,5,3,False,False,False,True,False,0,88,14,0,13,105,98,22,101,5,54,20,26
276,MC_SC_17_s03L_171,7,3,2,False,False,True,False,False,44,4,0,1,14,3,23,8,0,1,9,28,30
277,MC_SC_17_s03L_172,7,4,3,False,False,True,False,False,0,84,18,8,26,0,19,20,93,24,12,45,5
278,MC_SC_17_s03L_173,7,4,3,False,False,True,False,False,57,34,7,4,37,9,41,10,2,14,14,34,31
279,MC_SC_17_s03L_174,7,5,2,False,False,True,False,False,0,59,17,0,52,2,55,19,41,7,11,4,12
280,MC_SC_17_s03L_175,7,6,3,False,False,False,True,False,3,96,8,2,8,96,49,11,83,20,53,21,14
281,MC_SC_17_s03L_176,7,7,4,False,False,False,True,False,3,60,34,1,153,17,22,46,28,30,66,34,3
284,MC_SC_17_s03L_177,7,5,3,False,False,False,True,False,1,26,35,2,7,72,56,24,80,4,26,62,23
285,MC_SC_17_s03L_178,7,3,2,False,False,False,True,False,0,19,6,1,14,87,91,9,41,59,13,13,22
286,MC_SC_17_s03L_179,7,2,2,False,False,False,True,False,1,7,9,3,1,0,37,12,22,5,9,58,61
