Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,phox2b,ralyl,slc17a6,tenm2,ebf3,pcp4,slc32a1,tshz2,alcam,celf2,meis2,rph3a,robo1,slc5a7,syt1,zfhx3,Area
125,MC_SC_17_s03L_125,3,5,4,0,0,2,0,3,6,1,0,4,1,1,0,3,0,0,1,877.0
126,MC_SC_17_s03L_126,3,3,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,816.0
127,MC_SC_17_s03L_127,3,3,2,0,0,0,0,6,7,0,0,0,0,3,0,0,0,0,0,969.0
128,MC_SC_17_s03L_128,3,5,4,0,2,3,2,2,14,2,0,6,0,2,6,0,0,0,0,824.0
129,MC_SC_17_s03L_129,3,4,3,22,2,2,0,1,17,0,0,2,0,0,6,0,0,0,0,662.0
130,MC_SC_17_s03L_130,3,3,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,901.0
131,MC_SC_17_s03L_131,3,6,4,40,1,6,13,1,31,0,1,3,1,1,6,5,1,0,0,1468.0
132,MC_SC_17_s03L_132,3,4,3,0,1,0,4,2,25,0,0,10,0,0,7,0,0,0,4,908.0
133,MC_SC_17_s03L_133,3,6,3,0,0,0,0,5,6,0,0,2,0,0,5,1,0,0,1,870.0
134,MC_SC_17_s03L_134,3,8,5,1,0,0,2,0,48,1,0,11,0,1,15,2,1,1,1,832.0
135,MC_SC_17_s03L_135,3,7,5,4,5,1,9,0,5,4,2,5,1,6,24,1,0,0,0,1554.0
136,MC_SC_17_s03L_136,3,7,5,0,12,2,5,0,2,119,8,17,1,10,124,11,5,1,4,3631.0
137,MC_SC_17_s03L_137,3,2,2,0,0,0,0,3,13,0,1,0,1,1,11,0,0,1,0,768.0
138,MC_SC_17_s03L_138,3,4,3,0,3,12,14,0,25,6,0,7,2,6,27,4,3,0,3,1758.0
139,MC_SC_17_s03L_139,3,7,5,33,5,5,10,6,46,3,2,23,0,0,25,1,0,1,9,1479.0
140,MC_SC_17_s03L_140,3,18,9,68,23,6,2,6,12,5,0,0,2,0,28,3,5,0,2,1500.0
141,MC_SC_17_s03L_141,3,3,3,0,0,3,1,6,6,0,0,5,0,1,1,0,0,1,0,572.0
142,MC_SC_17_s03L_142,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,522.0
143,MC_SC_17_s03L_143,3,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1102.0
144,MC_SC_17_s03L_144,3,5,3,0,0,5,9,5,10,0,0,0,0,1,0,0,0,1,7,1080.0
145,MC_SC_17_s03L_145,3,10,8,0,1,2,10,14,72,6,0,9,0,0,29,2,3,1,4,1244.0
146,MC_SC_17_s03L_146,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.0
147,MC_SC_17_s03L_147,3,5,3,0,0,0,3,3,3,2,1,2,2,0,1,1,0,0,0,1296.0
148,MC_SC_17_s03L_148,3,6,4,0,1,1,12,0,48,66,0,0,0,1,19,0,1,1,0,1490.0
149,MC_SC_17_s03L_149,3,6,4,0,2,0,19,0,88,27,0,0,0,5,54,3,0,0,0,2065.0
150,MC_SC_17_s03L_150,3,6,3,2,0,0,10,0,57,18,0,13,0,1,35,1,1,0,0,1351.0
151,MC_SC_17_s03L_151,3,4,3,0,1,0,3,2,38,1,0,10,1,3,33,0,1,1,1,1619.0
152,MC_SC_17_s03L_152,3,4,3,1,1,2,10,11,51,1,9,24,5,0,60,2,0,2,1,1808.0
153,MC_SC_17_s03L_153,3,3,1,0,0,0,0,2,1,4,16,101,22,3,9,0,0,0,0,4123.0
154,MC_SC_17_s03L_154,3,6,5,1,3,0,42,0,5,30,4,25,1,8,117,8,0,1,2,2289.0
155,MC_SC_17_s03L_155,3,7,4,6,0,0,25,0,2,0,0,12,0,1,7,2,0,0,0,2066.0
156,MC_SC_17_s03L_156,3,5,4,0,2,0,12,0,72,41,3,8,3,4,50,6,0,4,0,1746.0
157,MC_SC_17_s03L_157,4,6,5,0,0,7,40,0,23,0,0,0,1,0,10,1,0,5,5,1192.0
158,MC_SC_17_s03L_158,4,5,3,0,0,2,11,1,20,0,0,0,2,2,3,0,0,0,0,905.0
159,MC_SC_17_s03L_159,4,5,3,0,0,0,12,0,22,20,0,0,0,0,10,0,0,0,0,516.0
160,MC_SC_17_s03L_160,4,2,2,1,0,0,1,0,3,0,0,2,4,1,2,0,0,0,0,204.0
161,MC_SC_17_s03L_161,4,7,3,3,0,1,7,1,54,5,0,0,1,1,26,1,0,2,2,1413.0
162,MC_SC_17_s03L_162,4,4,3,56,1,5,26,1,9,14,0,0,0,0,4,3,0,0,2,1856.0
163,MC_SC_17_s03L_163,4,4,3,39,0,0,9,0,16,1,0,2,0,1,2,1,2,0,0,987.0
164,MC_SC_17_s03L_164,4,9,5,3,0,0,14,7,35,18,0,1,0,0,12,1,3,0,0,1759.0
165,MC_SC_17_s03L_165,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.0
166,MC_SC_17_s03L_166,4,5,3,0,0,2,10,0,10,2,1,0,2,0,3,1,0,0,0,832.0
167,MC_SC_17_s03L_167,4,3,2,7,0,0,2,0,4,5,0,0,0,1,9,0,0,0,0,406.0
168,MC_SC_17_s03L_168,4,3,2,26,0,1,0,0,9,3,0,0,0,0,22,0,2,0,0,455.0
169,MC_SC_17_s03L_169,4,6,4,0,0,0,7,2,22,10,0,4,2,1,13,2,0,1,0,1589.0
170,MC_SC_17_s03L_170,4,2,1,0,2,0,1,0,3,1,2,1,0,5,3,0,0,0,0,185.0
171,MC_SC_17_s03L_171,4,8,4,52,1,4,11,0,9,2,0,0,1,0,6,4,1,0,3,906.0
172,MC_SC_17_s03L_172,4,8,4,106,0,15,33,0,64,27,0,1,5,6,136,6,10,1,1,5020.0
173,MC_SC_17_s03L_173,4,6,4,0,0,10,24,0,4,11,0,0,2,0,37,0,0,0,0,1854.0
174,MC_SC_17_s03L_174,4,9,6,1,0,0,6,8,0,12,2,2,0,0,12,0,0,0,0,742.0
175,MC_SC_17_s03L_175,4,8,4,0,2,0,9,2,41,46,4,3,2,2,63,0,3,2,0,1792.0
176,MC_SC_17_s03L_176,4,6,4,0,0,0,16,1,0,14,0,0,0,0,12,0,0,1,0,827.0
177,MC_SC_17_s03L_177,4,1,1,5,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,92.0
178,MC_SC_17_s03L_178,4,6,4,0,0,1,3,3,22,22,0,1,0,0,3,1,0,1,0,1731.0
179,MC_SC_17_s03L_179,4,7,4,59,0,3,15,0,10,6,0,1,2,1,58,0,1,0,0,1548.0
180,MC_SC_17_s03L_180,4,5,3,37,1,2,9,0,27,19,0,0,2,2,11,0,0,0,0,802.0
181,MC_SC_17_s03L_181,4,2,2,1,0,0,2,0,6,2,0,1,0,2,2,0,0,0,0,586.0
182,MC_SC_17_s03L_182,4,6,4,28,0,6,13,0,23,16,3,0,0,2,13,1,0,0,0,1153.0
183,MC_SC_17_s03L_183,4,6,4,0,0,0,6,0,21,11,0,3,1,0,23,0,1,2,0,1176.0
184,MC_SC_17_s03L_184,4,3,2,14,1,1,7,0,17,17,0,2,1,11,11,0,0,0,0,1022.0
185,MC_SC_17_s03L_185,4,6,5,0,0,6,4,0,17,10,0,1,1,0,9,0,0,0,0,489.0
186,MC_SC_17_s03L_186,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1754.0
187,MC_SC_17_s03L_187,4,16,6,0,5,0,15,0,0,40,0,10,1,0,43,1,0,0,0,712.0
188,MC_SC_17_s03L_188,4,1,1,0,1,0,0,0,3,0,0,0,0,3,8,0,0,0,0,217.0
189,MC_SC_17_s03L_189,4,7,5,0,0,0,13,10,6,19,0,0,0,0,3,0,0,0,1,699.0
190,MC_SC_17_s03L_190,4,6,4,1,1,2,23,0,0,53,0,1,1,2,11,0,0,3,0,1116.0
191,MC_SC_17_s03L_191,4,10,3,2,8,32,12,0,48,54,0,0,0,1,76,0,0,0,0,2885.0
192,MC_SC_17_s03L_192,4,6,3,17,0,5,20,0,14,2,0,0,0,0,5,1,0,1,0,2315.0
193,MC_SC_17_s03L_193,4,5,3,1,0,9,26,0,11,16,1,0,0,0,19,1,0,0,0,1826.0
194,MC_SC_17_s03L_194,4,9,7,0,1,0,9,0,20,1,0,1,0,0,26,0,0,0,0,1228.0
195,MC_SC_17_s03L_195,4,3,2,1,0,0,8,0,2,2,0,0,1,0,27,0,0,0,0,825.0
196,MC_SC_17_s03L_196,4,6,4,1,2,5,12,0,16,62,2,2,0,2,48,3,8,0,0,1878.0
197,MC_SC_17_s03L_197,4,6,4,0,3,0,11,0,3,40,0,11,0,1,22,1,0,0,0,552.0
198,MC_SC_17_s03L_198,4,5,3,3,1,1,7,0,9,15,2,0,0,0,3,2,0,0,0,2012.0
199,MC_SC_17_s03L_199,4,7,4,2,9,4,45,0,22,66,0,0,0,1,19,1,3,0,0,2344.0
200,MC_SC_17_s03L_200,4,4,3,4,2,0,12,3,21,12,0,1,0,0,5,0,0,1,0,1119.0
201,MC_SC_17_s03L_201,4,6,3,2,1,3,19,0,5,33,0,0,0,0,4,2,0,0,0,2043.0
202,MC_SC_17_s03L_202,4,4,3,1,1,0,22,0,0,30,0,5,0,1,9,0,0,0,0,1691.0
203,MC_SC_17_s03L_203,4,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,615.0
204,MC_SC_17_s03L_204,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721.0
205,MC_SC_17_s03L_205,4,3,3,0,0,0,10,0,0,18,0,0,0,0,3,0,0,0,0,992.0
206,MC_SC_17_s03L_206,4,3,2,1,0,7,11,0,7,2,0,0,0,0,23,0,0,0,2,907.0
207,MC_SC_17_s03L_207,4,4,3,0,0,0,1,0,7,10,0,0,0,0,0,0,0,0,0,434.0
208,MC_SC_17_s03L_208,4,6,4,0,1,0,14,1,19,0,0,0,0,1,3,0,0,1,0,1284.0
209,MC_SC_17_s03L_209,4,2,2,34,1,11,6,0,24,3,1,0,1,0,11,0,0,0,2,1293.0
210,MC_SC_17_s03L_210,4,5,4,0,0,0,22,0,0,10,0,2,0,0,2,0,1,0,1,1511.0
211,MC_SC_17_s03L_211,4,2,2,33,0,1,7,0,0,0,0,2,0,1,0,0,0,0,1,982.0
212,MC_SC_17_s03L_212,4,5,3,1,0,0,4,1,0,3,2,0,0,0,1,0,0,0,0,1296.0
213,MC_SC_17_s03L_213,4,5,4,60,0,6,34,0,68,1,0,3,1,2,3,0,0,0,0,2326.0
214,MC_SC_17_s03L_214,4,3,2,2,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,985.0
215,MC_SC_17_s03L_215,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,253.0
216,MC_SC_17_s03L_216,4,8,5,81,0,0,19,1,22,2,0,0,0,0,24,2,2,0,1,1956.0
217,MC_SC_17_s03L_217,4,14,5,0,0,0,29,0,11,15,2,0,0,2,17,7,2,5,0,2827.0
218,MC_SC_17_s03L_218,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.0
219,MC_SC_17_s03L_219,4,4,3,23,0,0,13,1,4,0,0,1,0,0,0,2,0,0,0,901.0
