Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,phox2b,ralyl,slc17a6,tenm2,ebf3,pcp4,slc32a1,tshz2,alcam,celf2,meis2,rph3a,robo1,slc5a7,syt1,zfhx3
219,MC_SC_17_s03L_219,4,4,3,51,6,0,41,7,8,0,2,5,1,0,0,14,0,1,1
220,MC_SC_17_s03L_220,4,4,2,5,18,1,11,8,9,18,2,6,4,19,11,10,6,0,1
221,MC_SC_17_s03L_221,4,5,4,1,0,1,20,32,21,24,2,9,6,23,2,17,12,6,4
222,MC_SC_17_s03L_222,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,MC_SC_17_s03L_223,4,2,1,12,4,0,5,1,8,0,0,0,0,0,0,2,0,3,3
224,MC_SC_17_s03L_224,4,5,5,117,19,4,44,1,25,17,0,12,4,33,63,15,18,4,22
225,MC_SC_17_s03L_225,4,2,2,64,2,0,17,0,1,0,0,0,3,4,1,1,0,0,0
226,MC_SC_17_s03L_226,4,8,3,2,27,0,97,0,10,116,40,77,7,3,62,6,0,22,26
227,MC_SC_17_s03L_227,4,2,1,0,0,0,2,4,1,0,0,2,6,1,0,1,3,0,1
228,MC_SC_17_s03L_228,4,5,4,204,5,0,57,25,52,6,3,24,39,47,0,54,13,15,3
229,MC_SC_17_s03L_229,4,3,2,83,20,2,37,0,64,24,11,1,3,18,28,21,21,0,5
230,MC_SC_17_s03L_230,4,4,2,12,18,0,34,30,6,2,18,6,19,19,0,8,3,27,22
231,MC_SC_17_s03L_231,4,1,1,0,0,0,0,0,2,0,0,0,1,1,3,1,0,0,0
232,MC_SC_17_s03L_232,4,4,2,63,13,0,30,11,23,0,2,15,8,20,0,24,0,0,14
233,MC_SC_17_s03L_233,4,5,3,0,19,0,96,33,43,43,2,14,9,47,6,2,0,0,0
234,MC_SC_17_s03L_234,4,5,4,1,21,0,47,0,5,61,25,9,2,7,28,21,0,9,7
235,MC_SC_17_s03L_235,4,1,1,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
236,MC_SC_17_s03L_236,4,3,2,0,5,1,39,0,0,0,0,0,4,1,0,0,0,0,5
237,MC_SC_17_s03L_237,4,3,3,1,12,18,53,0,0,0,0,0,0,0,0,0,0,0,0
238,MC_SC_17_s03L_238,4,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
239,MC_SC_17_s03L_239,4,1,1,0,6,0,4,1,0,31,0,14,2,5,0,0,0,0,17
240,MC_SC_17_s03L_240,4,4,2,157,96,2,28,1,47,0,13,7,4,26,0,6,0,0,2
241,MC_SC_17_s03L_241,4,4,3,4,20,0,29,1,1,20,3,8,2,5,0,12,0,14,1
242,MC_SC_17_s03L_242,4,7,5,111,45,0,24,1,28,5,4,0,7,11,0,6,0,3,1
243,MC_SC_17_s03L_243,4,4,3,9,24,8,31,2,9,2,20,3,1,20,19,6,0,1,3
244,MC_SC_17_s03L_244,4,1,1,0,0,0,1,2,8,2,0,0,0,4,0,2,0,3,3
245,MC_SC_17_s03L_245,4,3,2,0,2,0,29,2,0,0,0,0,2,0,0,0,0,0,0
246,MC_SC_17_s03L_246,4,3,2,1,2,1,3,17,3,2,0,3,5,1,0,7,0,1,0
247,MC_SC_17_s03L_247,4,4,3,1,11,4,25,1,2,0,40,33,16,32,7,16,0,2,18
248,MC_SC_17_s03L_248,4,4,3,1,8,1,31,0,0,0,0,0,2,9,0,4,0,19,3
249,MC_SC_17_s03L_249,4,3,2,36,5,0,28,0,0,0,10,0,15,6,0,2,0,10,16
