Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,rph3a,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,robo1,syt1,zfhx3,Area
111,MC_SC_17_s03L_69,5,2,1,False,False,True,False,True,False,60.91498202914985,70.9596951742955,187.83497407980434,114.4527804956981,51.225033720791245,201.09854193236927,71.33172245308222,95.51189370705774,77.80504000330265,170.16685907789443,76.58646820460551,102.3687341120605,771.0
112,MC_SC_17_s03L_70,5,3,2,False,False,False,True,True,False,132.24418333058202,88.96311853489563,91.88304216394062,139.2726040768587,140.048722921929,172.43500097269418,106.17079411835341,165.4023159703173,156.186375204681,122.76115412628558,139.8305457238705,141.86460040950436,1318.0
114,MC_SC_17_s03L_71,5,4,3,False,False,True,False,True,False,50.306391905632594,26.21804142566837,88.324516184575,95.10509850524019,12.849908870647328,98.81879103761128,44.994592525755216,102.94104725203628,51.232126844833246,88.79836328783307,69.71887296175268,97.82139911816249,1593.0
115,MC_SC_17_s03L_72,5,4,3,False,False,True,False,True,False,17.522705743370146,24.25313821168307,89.57804201772821,80.71211982583874,22.817873644928206,119.56767617354983,19.01419953727561,85.55832638509298,112.29646687162602,67.45630910734334,44.52872068878613,48.750779588411184,1636.0
117,MC_SC_17_s03L_73,5,4,3,False,False,True,False,True,False,55.97677797111688,28.837378189055336,122.17194113352939,87.24558144447383,61.56074860249949,105.56521183881308,47.75375896481774,95.78574861561916,52.80841945244902,100.95417043567484,42.347134408819336,43.357437759066464,1275.0
119,MC_SC_17_s03L_74,5,4,2,False,False,False,True,True,False,111.47583800269447,105.56008701008005,196.82861375175318,108.64548655758624,40.10611410070857,126.70860072520462,28.278825358550144,83.86599471230606,62.80927820309051,82.83852934314227,57.97718797172376,56.35597058935231,2478.0
121,MC_SC_17_s03L_75,5,3,2,False,False,False,True,False,False,86.42887740502044,82.19234398073748,143.85125747098465,109.49880904482688,70.86160054190367,174.40408321871973,79.3034626444006,116.85011247217179,114.77428540381315,174.4187402097138,66.85110086327205,107.59697494568212,1304.0
123,MC_SC_17_s03L_76,5,5,3,False,False,True,False,True,False,32.78467066031206,46.12182743589633,111.00594117411248,36.80399786796027,21.09346053871746,119.02318926339763,30.508445474464153,64.26165057665158,70.77618149245178,67.10335879276565,38.9717390145051,45.52418953560949,1761.0
126,MC_SC_17_s03L_77,5,4,3,False,False,False,True,True,False,56.10649416679414,42.0700452725002,77.5409475817137,73.80274309851026,43.823701781431154,98.82180592321093,35.18644285393379,107.185366723715,93.70522688470153,100.30028090182381,46.91174425511431,53.41816796666294,1637.0
127,MC_SC_17_s03L_78,5,3,3,False,False,False,True,False,False,80.38532212430398,25.902817660478703,118.22389606086932,45.146731926090474,51.58803342103075,123.90326893956131,31.98211678913968,107.0765876231316,65.8883902577251,81.08031988907288,41.71588100200029,59.73274722456904,1152.0
130,MC_SC_17_s03L_79,5,8,5,False,False,False,False,True,True,81.65688703049871,42.22707444332449,165.54019997570535,105.46473826118512,44.44702729554282,88.5970746316836,7.4865973490156925,77.85879058701116,58.98416687740211,113.82985680829654,60.404704663868614,72.92968844960672,3119.0
132,MC_SC_17_s03L_80,5,4,3,False,False,True,False,True,False,64.64291984627295,32.43997872366552,130.03031634446472,67.1001440099657,42.976361932413695,135.00457297817005,28.291108901391407,52.69330832279901,29.01761051598678,50.532735377704185,35.457941906025845,31.6796976016684,1096.0
133,MC_SC_17_s03L_81,5,6,6,False,False,False,True,True,False,65.38830505648883,25.032336657197458,52.73209870168497,57.851329607019906,39.606669668400286,79.3783324917983,2.181011509291853,38.454191828902715,13.64801688130762,46.06123733286171,7.662372958926235,6.067661235545882,1373.0
135,MC_SC_17_s03L_82,5,4,2,False,False,False,True,False,False,93.41038830549742,29.72803478316052,131.05666580027417,48.62657285320061,66.4874968383415,81.03267340033418,19.783235348013555,55.74333489964664,47.953991750096684,77.82937399458136,16.77367225176437,34.53643335099873,1369.0
137,MC_SC_17_s03L_83,5,3,2,False,False,False,True,True,False,62.48944521450739,21.26721664554732,109.44758011255853,47.28988440700428,61.06947788609113,89.74865248791599,37.425007926073214,96.13689323528548,71.10794881906202,104.84786029124233,45.24354651891483,49.775889355605315,1687.0
138,MC_SC_17_s03L_84,5,3,3,False,False,False,True,True,False,93.9929321532157,49.36581433877666,132.13902480761286,60.578386906762546,77.1438621477614,102.20398396456662,43.87259483776285,108.4137483323804,93.35089916910096,137.28403218821208,66.8450380924848,69.6674713523659,1696.0
140,MC_SC_17_s03L_85,5,3,2,False,False,True,False,True,False,37.24239014352853,33.690451433668095,83.4617130202444,70.90964653832714,47.34707534975915,144.09598164194978,50.37386846577127,115.43204734163619,63.73579528010646,76.99486318886197,55.2620991523693,65.59235665071667,1039.0
141,MC_SC_17_s03L_86,5,4,3,False,False,True,False,False,False,43.88815185541958,14.311436829066887,38.41895472061657,52.630762620668236,58.593086646980645,92.00891657613406,36.377430353173544,59.05166514059468,23.761425623375672,101.62987386103133,29.827576694571285,77.40181663362388,692.0
142,MC_SC_17_s03L_87,5,4,3,False,False,True,False,True,False,11.150323651527264,25.12054253250213,78.52776584766993,29.672988303417213,48.244834963388165,75.84859470276264,30.695977976361952,40.018596761626696,50.28580104801896,59.860776947782824,61.453500460247774,33.202424914014884,1253.0
